AGUILA MINITORTA (brownie-coco-minitorta),60,PROMO 4 x $150
BON O BON TRIPLE NEGRO,600,  
MILKA TORTA OREO,600,  
MILKA DULCE DE LECHE TRIPLE,60,  
MILKA MOUSSE TRIPLE (negro),60,  
BLOCK TRIPLE,60,  
OREO VAINILLA TRIPLE,60,  
PEPITO TRIPLE,60,  
SHOT MOUSE Y MANI TRIPLE,60,  
TERRABUSI TRIPLE (clasico / torta),60,  
TOFI TRIPLE (blanco / negro),60,  
BAGLEY TRIPLE (blanco / negro),60,  
SIN CULPA simple (blanco / negro),60,  
SIN CULPA simple (mousse / frutilla / limon),40,  
SUCHARD SIMPLE,40,  
SMACK simple (negro),28,  
SER simple (negro),35,  
TERRABUSI CLASICO SIMPLE (blanco/negro),38,  
BON O BON SIMPLE,170,  
VAUQUITA (blanco/ capuchino),35,  
VAUQUITA MAICENA,30,  
VAUQUITA GLASEADO,35,  
TOFI simple GLASEADO,30,  
TOFI mini GLASEADO,60,  
BON O BON MINI NEGRO x 6 UNIDADES,120,  
ALFAJOR DE MAICENA GIGANTE,40,  
ALFAJOR SANTAFESINO “LAS ROSAS”,25,  
GEORGALOS SIMPLE “FULL MANI”,27,  
GUAYMALLEN TRIPLE (blanco / negro/ fruta),30,  
GUAYMALLEN SIMPLE (blanco / negro),20,  
TATIN TRIPLE (blanco / negro),30,  
TATIN SIMPLE (blanco / negro),20,  
